김,Kim
이,Yi
박,Park
정,Jeong
최,Choi
조,Jo
강,Gang
장,Jang
윤,Yun
임,Im
신,Shin
한,Han
오,Oh
서,Seo
전,Jeon
권,Gweon
황,Hwang
안,An
송,Song
홍,Hong
양,Yang 
고,Go
문,Mun
손,Son
배,Bae
백,Baek
허,Heo
노,Noh
남,Nam
심,Shim
하,Ha
주,Ju
구,Gu
곽,Gwak
성,Seong
우,Woo
차,Cha
진,Jin
민,Min
유,Yu
나,Na 
지,Ji
엄,Eom
변,Byeon
채,Chae
원,Weon
방,Bang
천,Cheon
공,Gong
현,Hyeon
여,Yeo 
함,Ham
염,Yeom
석,Seok
추,Chu
도,Do
소,So
설,Seol
선,Seon
마,Ma
길,Gil
연,Yeon
위,Wi
표,Pyo
명,Myeong
기,Gi
반,Ban
라,Ra
왕,Wang
금,Geum
옥,Ok
육,Yuk 
인,In
맹,Maeng
제,Jei
모,Mo
남궁,Namgung
탁,Tak
국,Guk
어,Eo
경,Gyeong
은,Eun
편,Pyeon
용,Yong
예,Ye
봉,Bong
사,Sa
부,Bu
황보,Hwangbo
가,Ga
복,Bok
태,Tae
목,Mok
형,Hyeong
계,Gye
피,Pi
두,Du
감,Gam
동,Dong
호,Ho
빈,Bin
제갈,Jegal
음,Eum
온,On
사공,Sagong
시,Shi
범,Beom
선우,Seonwoo
승,Seung
좌,Jwa
팽,Paeng
간,Gan
상,Sang
갈,Gal
서문,Seomun
견,Gyeon
단,Dan
순,Sun
당,Dang
창,Chang
옹,Ong
화,Hwa
빙,Bing
종,Jong
대,Dae
풍,Pung
궁,Gung
엽,Yeop
아,Ah
평,Pyeong
독고,Dokgo
내,Nae
판,Pan
리,Lee
초,Cho
매,Mae
궉,Gweok
낭,Nang 
동방,Dongbang
필,Pil
묵,Muk
근,Geun
점,Jeom
해,Hae
탄,Tan
랑,Rang
만,Man
운,Un
돈,Don
곡,Gok
부여,Buyeo
야,Ya
섭,Seop
자,Ja
후,Hu
로,Roh
포,Po
담,Dam
림,Rim
수,Su
삼,Sam
학,Hak
요,Yo
교,Gyo
애,Ae
영,Yeong
묘,Myo
관,Gwan
등,Deung
뇌,Noe
려,Ryeo
뢰,Roe
증,Jeung
미,Mi
보,Bo
비,Bi
무,Moo
란,Ran
산,San
난,Nan 
망절,Mangjeol
어금,Eogeum
다,Da
무본,Mubon
번,Beon
완,Wan
등정,Deungjeong
황목,Hwangmok
